,date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,vehicles and fuel tanks,cruise missiles
50,2022-04-16,52,0,1,6,6,5,3,15,0,3,0,0,1,0,0,0
51,2022-04-17,53,2,1,11,20,5,2,13,0,10,0,0,1,0,0,0
52,2022-04-18,54,2,1,17,39,5,3,16,0,7,0,1,0,0,0,0
53,2022-04-19,55,2,3,12,22,5,2,8,0,3,0,0,0,0,0,0
54,2022-04-20,56,2,0,13,24,5,4,9,0,7,0,0,0,0,0,0
55,2022-04-21,57,1,1,14,31,2,0,4,0,1,0,0,0,0,0,0
56,2022-04-22,58,4,2,9,44,4,2,15,0,6,0,2,0,0,0,0
57,2022-04-23,59,1,1,16,43,6,5,20,0,10,0,0,0,0,0,0
58,2022-04-24,60,2,0,19,33,5,4,14,0,9,0,0,1,0,0,0
59,2022-04-25,61,2,0,11,20,3,2,9,0,10,0,0,0,0,0,0
60,2022-04-26,62,3,0,34,50,5,0,77,0,4,0,0,3,0,0,0
61,2022-04-27,63,1,1,21,34,5,0,23,0,2,0,2,0,0,0,0
62,2022-04-28,64,2,0,31,47,10,2,22,0,8,0,1,0,0,0,0
63,2022-04-29,65,2,0,16,29,4,0,7,0,14,0,1,0,0,0,0
64,2022-04-30,66,1,0,22,27,1,0,6,0,3,0,4,1,0,0,0
65,2022-05-01,67,2,0,18,26,15,0,0,0,13,0,3,0,0,1796,84
66,2022-05-02,68,2,0,22,48,8,1,0,0,26,0,0,6,0,28,0
67,2022-05-03,69,0,0,14,48,16,10,0,0,20,2,0,0,0,19,0
68,2022-05-04,70,0,0,15,43,16,1,0,0,12,0,1,0,0,24,3
